Subject,URL,year,month
Release:  Stolen Auto Leads to Drug Charges,https://reginapolice.ca/2018/01/stolen-auto-leads-to-drug-charges/,2018,1
Release:  Three Charged as a Result of Drug Enforcement,https://reginapolice.ca/2018/01/three-charged-as-a-result-of-drug-enforcement/,2018,1
Release:  Traffic Stop Leads to Drug Charges,https://reginapolice.ca/2018/01/traffic-stop-leads-to-drug-charges/,2018,1
Release:  Two Adult Males Charged with Stolen Auto,https://reginapolice.ca/2018/01/two-adult-males-charged-with-stolen-auto/,2018,1
Release:  Two Charged in Bear-Spray Incident,https://reginapolice.ca/2018/01/two-charged-in-bear-spray-incident/,2018,1
Release:  Two Charged in Robbery Incident,https://reginapolice.ca/2018/01/two-charged-in-robbery-incident/,2018,1
Release:  Two Males Charged in Robbery and Stolen Auto Incidents,https://reginapolice.ca/2018/01/two-males-charged-in-robbery-and-stolen-auto-incidents/,2018,1
Release:  UPDATE: Female Sought on Province-Wide Warrant,https://reginapolice.ca/2018/01/update-female-sought-on-province-wide-warrant/,2018,1
Release:  Update: Reward Offered in 2016 Homicide Case,https://reginapolice.ca/2018/01/update-reward-offered-in-2016-homicide-case/,2018,1
Release:  Uttering Threats Charge,https://reginapolice.ca/2018/01/uttering-threats-charge/,2018,1
Release:  Youths Charged with Theft from Auto,https://reginapolice.ca/2018/01/youths-charged-with-theft-from-auto/,2018,1
Release:  Advisory: CEW Discharge,https://reginapolice.ca/2018/02/advisory-cew-discharge-16/,2018,2
Release:  Advisory: CEW Discharge,https://reginapolice.ca/2018/02/advisory-cew-discharge-17/,2018,2
Release:  Charges in Homicide Investigation,https://reginapolice.ca/2018/02/charges-in-homicide-investigation/,2018,2
Release:  Death Investigation,https://reginapolice.ca/2018/02/death-investigation-9/,2018,2
Release:  Death Investigation Deemed Homicide,https://reginapolice.ca/2018/02/death-investigation-deemed-homicide-2/,2018,2
"Release:  Drugs, Firearm Seized After Search Warrant Executed",https://reginapolice.ca/2018/02/drugs-firearm-seized-after-search-warrant-executed/,2018,2
"Release:  Drugs, Firearms Seized After Search Warrant Executed",https://reginapolice.ca/2018/02/drugs-firearms-seized-after-search-warrant-executed/,2018,2
Release:  Firearm Seized,https://reginapolice.ca/2018/02/firearm-seized/,2018,2
Release:  Firearms Offence,https://reginapolice.ca/2018/02/firearms-offence-12/,2018,2
Release:  Homicide Investigation – Victim Identity,https://reginapolice.ca/2018/02/homicide-investigation-victim-identity/,2018,2
Release:  Male Charged in Robberies,https://reginapolice.ca/2018/02/male-charged-in-robberies-2/,2018,2
Release:  Males Charged – Evading Police and Weapons Offences,https://reginapolice.ca/2018/02/males-charged-evading-police-and-weapons-offences/,2018,2
Release:  Males Charged in Aggravated Assault,https://reginapolice.ca/2018/02/males-charged-in-aggravated-assault/,2018,2
Release:  Police Investigate Armed Robbery,https://reginapolice.ca/2018/02/police-investigate-armed-robbery-9/,2018,2
Release:  Regina Male Charged in Stolen Truck Incident,https://reginapolice.ca/2018/02/regina-male-charged-in-stolen-truck-incident/,2018,2
Release:  Regina Male Facing 18 B&E and Theft-Related Charges,https://reginapolice.ca/2018/02/regina-male-facing-18-be-and-theft-related-charges/,2018,2
Release:  Request Assistance – Weapons Offence,https://reginapolice.ca/2018/02/request-assistance-weapons-offence-2/,2018,2
Release:  Request Assistance: Firearm Discharge,https://reginapolice.ca/2018/02/request-assistance-firearm-discharge-4/,2018,2
Release:  Robbery Incident,https://reginapolice.ca/2018/02/robbery-incident-2/,2018,2
