date,release_url
2021-09-02,https://winnipeg.ca/police/press/2021/09sept/2021_09_02.stm
2021-09-01,https://winnipeg.ca/police/press/2021/09sept/2021_09_01.stm
2020-01-31,https://winnipeg.ca/police/press/2020/01Jan/2020_01_31.aspx
2020-01-30,https://winnipeg.ca/police/press/2020/01Jan/2020_01_30.aspx
2020-01-29,https://winnipeg.ca/police/press/2020/01Jan/2020_01_29.aspx
2020-01-28,https://winnipeg.ca/police/press/2020/01Jan/2020_01_28.aspx
2020-01-27,https://winnipeg.ca/police/press/2020/01Jan/2020_01_27.aspx
2020-01-24,https://winnipeg.ca/police/press/2020/01Jan/2020_01_24.aspx
2020-01-22,https://winnipeg.ca/police/press/2020/01Jan/2020_01_22.aspx
2020-01-21,https://winnipeg.ca/police/press/2020/01Jan/2020_01_21.aspx
2020-01-17,https://winnipeg.ca/police/press/2020/01Jan/2020_01_17.aspx
2020-01-16,https://winnipeg.ca/police/press/2020/01Jan/2020_01_16.aspx
2020-01-15,https://winnipeg.ca/police/press/2020/01Jan/2020_01_15.aspx
2020-01-13,https://winnipeg.ca/police/press/2020/01Jan/2020_01_13.aspx
2020-01-12,https://winnipeg.ca/police/press/2020/01Jan/2020_01_12.aspx
2020-01-11,https://winnipeg.ca/police/press/2020/01Jan/2020_01_11.aspx
2020-01-10,https://winnipeg.ca/police/press/2020/01Jan/2020_01_10.aspx
2020-01-08,https://winnipeg.ca/police/press/2020/01Jan/2020_01_08.aspx
2020-01-07,https://winnipeg.ca/police/press/2020/01Jan/2020_01_07.aspx
2020-01-03,https://winnipeg.ca/police/press/2020/01Jan/2020_01_03.aspx
2020-01-02,https://winnipeg.ca/police/press/2020/01Jan/2020_01_02.aspx
2020-01-01,https://winnipeg.ca/police/press/2020/01Jan/2020_01_01.aspx
,https://winnipeg.ca/police/press/current.stm
2020-02-28,https://winnipeg.ca/police/press/2020/02Feb/2020_02_28.aspx
2020-02-25,https://winnipeg.ca/police/press/2020/02Feb/2020_02_25.aspx
2020-02-24,https://winnipeg.ca/police/press/2020/02Feb/2020_02_24.aspx
2020-02-21,https://winnipeg.ca/police/press/2020/02Feb/2020_02_21.aspx
2020-02-20,https://winnipeg.ca/police/press/2020/02Feb/2020_02_20.aspx
2020-02-18,https://winnipeg.ca/police/press/2020/02Feb/2020_02_18.aspx
2020-02-14,https://winnipeg.ca/police/press/2020/02Feb/2020_02_14.aspx
2020-02-13,https://winnipeg.ca/police/press/2020/02Feb/2020_02_13.aspx
2020-02-12,https://winnipeg.ca/police/press/2020/02Feb/2020_02_12.aspx
2020-02-11,https://winnipeg.ca/police/press/2020/02Feb/2020_02_11.aspx
2020-02-10,https://winnipeg.ca/police/press/2020/02Feb/2020_02_10.aspx
2020-02-06,https://winnipeg.ca/police/press/2020/02Feb/2020_02_06.aspx
2020-02-05,https://winnipeg.ca/police/press/2020/02Feb/2020_02_05.aspx
2020-02-04,https://winnipeg.ca/police/press/2020/02Feb/2020_02_04.aspx
2020-02-03,https://winnipeg.ca/police/press/2020/02Feb/2020_02_03.aspx
,https://winnipeg.ca/police/press/current.stm
2020-03-31,https://winnipeg.ca/police/press/2020/03mar/2020_03_31.aspx
2020-03-30,https://winnipeg.ca/police/press/2020/03mar/2020_03_30.aspx
2020-03-28,https://winnipeg.ca/police/press/2020/03mar/2020_03_28.aspx
2020-03-27,https://winnipeg.ca/police/press/2020/03mar/2020_03_27.aspx
2020-03-26,https://winnipeg.ca/police/press/2020/03mar/2020_03_26.aspx
2020-03-23,https://winnipeg.ca/police/press/2020/03mar/2020_03_23.aspx
2020-03-20,https://winnipeg.ca/police/press/2020/03mar/2020_03_20.aspx
2020-03-19,https://winnipeg.ca/police/press/2020/03mar/2020_03_19.aspx
2020-03-18,https://winnipeg.ca/police/press/2020/03mar/2020_03_18.aspx
2020-03-17,https://winnipeg.ca/police/press/2020/03mar/2020_03_17.aspx
2020-03-16,https://winnipeg.ca/police/press/2020/03mar/2020_03_16.aspx
2020-03-13,https://winnipeg.ca/police/press/2020/03mar/2020_03_13.aspx
2020-03-12,https://winnipeg.ca/police/press/2020/03mar/2020_03_12.aspx
2020-03-10,https://winnipeg.ca/police/press/2020/03mar/2020_03_10.aspx
2020-03-09,https://winnipeg.ca/police/press/2020/03mar/2020_03_09.aspx
2020-03-08,https://winnipeg.ca/police/press/2020/03mar/2020_03_08.aspx
2020-03-06,https://winnipeg.ca/police/press/2020/03mar/2020_03_06.aspx
2020-03-03,https://winnipeg.ca/police/press/2020/03mar/2020_03_03.aspx
2020-03-02,https://winnipeg.ca/police/press/2020/03mar/2020_03_02.aspx
,https://winnipeg.ca/police/press/current.stm
2020-04-30,https://winnipeg.ca/police/press/2020/04apr/2020_04_30.stm
2020-04-29,https://winnipeg.ca/police/press/2020/04apr/2020_04_29.aspx
2020-04-28,https://winnipeg.ca/police/press/2020/04apr/2020_04_28.aspx
2020-04-25,https://winnipeg.ca/police/press/2020/04apr/2020_04_25.aspx
2020-04-24,https://winnipeg.ca/police/press/2020/04apr/2020_04_24.aspx
2020-04-23,https://winnipeg.ca/police/press/2020/04apr/2020_04_23.aspx
2020-04-22,https://winnipeg.ca/police/press/2020/04apr/2020_04_22.aspx
2020-04-21,https://winnipeg.ca/police/press/2020/04apr/2020_04_21.aspx
2020-04-20,https://winnipeg.ca/police/press/2020/04apr/2020_04_20.aspx
2020-04-19,https://winnipeg.ca/police/press/2020/04apr/2020_04_19.aspx
2020-04-18,https://winnipeg.ca/police/press/2020/04apr/2020_04_18.aspx
2020-04-17,https://winnipeg.ca/police/press/2020/04apr/2020_04_17.aspx
2020-04-16,https://winnipeg.ca/police/press/2020/04apr/2020_04_16.aspx
2020-04-14,https://winnipeg.ca/police/press/2020/04apr/2020_04_14.aspx
2020-04-13,https://winnipeg.ca/police/press/2020/04apr/2020_04_13.aspx
2020-04-10,https://winnipeg.ca/police/press/2020/04apr/2020_04_10.aspx
2020-04-09,https://winnipeg.ca/police/press/2020/04apr/2020_04_09.aspx
2020-04-08,https://winnipeg.ca/police/press/2020/04apr/2020_04_08.aspx
2020-04-06,https://winnipeg.ca/police/press/2020/04apr/2020_04_06.aspx
2020-04-05,https://winnipeg.ca/police/press/2020/04apr/2020_04_05.aspx
2020-04-03,https://winnipeg.ca/police/press/2020/04apr/2020_04_03.aspx
2020-04-02,https://winnipeg.ca/police/press/2020/04apr/2020_04_02.aspx
2020-04-01,https://winnipeg.ca/police/press/2020/04apr/2020_04_01.aspx
2020-05-31,https://winnipeg.ca/police/press/2020/05may/2020_05_31.stm
2020-05-29,https://winnipeg.ca/police/press/2020/05may/2020_05_29.stm
2020-05-28,https://winnipeg.ca/police/press/2020/05may/2020_05_28.stm
2020-05-25,https://winnipeg.ca/police/press/2020/05may/2020_05_25.stm
2020-05-24,https://winnipeg.ca/police/press/2020/05may/2020_05_24.stm
2020-05-22,https://winnipeg.ca/police/press/2020/05may/2020_05_22.stm
2020-05-21,https://winnipeg.ca/police/press/2020/05may/2020_05_21.stm
2020-05-20,https://winnipeg.ca/police/press/2020/05may/2020_05_20.stm
2020-05-19,https://winnipeg.ca/police/press/2020/05may/2020_05_19.stm
2020-05-18,https://winnipeg.ca/police/press/2020/05may/2020_05_18.stm
2020-05-17,https://winnipeg.ca/police/press/2020/05may/2020_05_17.stm
2020-05-16,https://winnipeg.ca/police/press/2020/05may/2020_05_16.stm
2020-05-15,https://winnipeg.ca/police/press/2020/05may/2020_05_15.stm
2020-05-13,https://winnipeg.ca/police/press/2020/05may/2020_05_13.stm
2020-05-11,https://winnipeg.ca/police/press/2020/05may/2020_05_11.stm
2020-05-07,https://winnipeg.ca/police/press/2020/05may/2020_05_07.stm
2020-05-06,https://winnipeg.ca/police/press/2020/05may/2020_05_06.stm
2020-05-05,https://winnipeg.ca/police/press/2020/05may/2020_05_05.stm
2020-05-03,https://winnipeg.ca/police/press/2020/05may/2020_05_03.stm
2020-05-02,https://winnipeg.ca/police/press/2020/05may/2020_05_02.stm
2020-05-01,https://winnipeg.ca/police/press/2020/05may/2020_05_01.stm
2020-06-30,https://winnipeg.ca/police/press/2020/06june/2020_06_30.stm
2020-06-29,https://winnipeg.ca/police/press/2020/06june/2020_06_29.stm
2020-06-26,https://winnipeg.ca/police/press/2020/06june/2020_06_26.stm
2020-06-25,https://winnipeg.ca/police/press/2020/06june/2020_06_25.stm
2020-06-24,https://winnipeg.ca/police/press/2020/06june/2020_06_24.stm
2020-06-23,https://winnipeg.ca/police/press/2020/06june/2020_06_23.stm
2020-06-21,https://winnipeg.ca/police/press/2020/06june/2020_06_21.stm
2020-06-20,https://winnipeg.ca/police/press/2020/06june/2020_06_20.stm
2020-06-19,https://winnipeg.ca/police/press/2020/06june/2020_06_19.stm
2020-06-18,https://winnipeg.ca/police/press/2020/06june/2020_06_18.stm
2020-06-16,https://winnipeg.ca/police/press/2020/06june/2020_06_16.stm
2020-06-15,https://winnipeg.ca/police/press/2020/06june/2020_06_15.stm
2020-06-12,https://winnipeg.ca/police/press/2020/06june/2020_06_12.stm
2020-06-11,https://winnipeg.ca/police/press/2020/06june/2020_06_11.stm
2020-06-10,https://winnipeg.ca/police/press/2020/06june/2020_06_10.stm
2020-06-09,https://winnipeg.ca/police/press/2020/06june/2020_06_09.stm
2020-06-04,https://winnipeg.ca/police/press/2020/06june/2020_06_04.stm
2020-06-03,https://winnipeg.ca/police/press/2020/06june/2020_06_03.stm
2020-06-01,https://winnipeg.ca/police/press/2020/06june/2020_06_01.stm
2020-07-31,https://winnipeg.ca/police/press/2020/07Jul/2020_07_31.stm
2020-07-30,https://winnipeg.ca/police/press/2020/07Jul/2020_07_30.stm
2020-07-29,https://winnipeg.ca/police/press/2020/07Jul/2020_07_29.stm
2020-07-28,https://winnipeg.ca/police/press/2020/07Jul/2020_07_28.stm
2020-07-27,https://winnipeg.ca/police/press/2020/07Jul/2020_07_27.stm
2020-07-26,https://winnipeg.ca/police/press/2020/07Jul/2020_07_26.stm
2020-07-24,https://winnipeg.ca/police/press/2020/07Jul/2020_07_24.stm
2020-07-21,https://winnipeg.ca/police/press/2020/07Jul/2020_07_21.stm
2020-07-20,https://winnipeg.ca/police/press/2020/07Jul/2020_07_20.stm
2020-07-18,https://winnipeg.ca/police/press/2020/07Jul/2020_07_18.stm
2020-07-16,https://winnipeg.ca/police/press/2020/07Jul/2020_07_16.stm
2020-07-15,https://winnipeg.ca/police/press/2020/07Jul/2020_07_15.stm
2020-07-14,https://winnipeg.ca/police/press/2020/07Jul/2020_07_14.stm
2020-07-13,https://winnipeg.ca/police/press/2020/07Jul/2020_07_13.stm
2020-07-10,https://winnipeg.ca/police/press/2020/07Jul/2020_07_10.stm
2020-07-09,https://winnipeg.ca/police/press/2020/07Jul/2020_07_09.stm
2020-07-08,https://winnipeg.ca/police/press/2020/07Jul/2020_07_08.stm
2020-07-07,https://winnipeg.ca/police/press/2020/07Jul/2020_07_07.stm
2020-07-04,https://winnipeg.ca/police/press/2020/07Jul/2020_07_04.stm
2020-07-03,https://winnipeg.ca/police/press/2020/07Jul/2020_07_03.stm
2020-07-02,https://winnipeg.ca/police/press/2020/07Jul/2020_07_02.stm
2020-07-01,https://winnipeg.ca/police/press/2020/07Jul/2020_07_01.stm
2020-08-31,https://winnipeg.ca/police/press/2020/08aug/2020_08_31.stm
2020-08-27,https://winnipeg.ca/police/press/2020/08aug/2020_08_27.stm
2020-08-26,https://winnipeg.ca/police/press/2020/08aug/2020_08_26.stm
2020-08-25,https://winnipeg.ca/police/press/2020/08aug/2020_08_25.stm
2020-08-24,https://winnipeg.ca/police/press/2020/08aug/2020_08_24.stm
2020-08-21,https://winnipeg.ca/police/press/2020/08aug/2020_08_21.stm
2020-08-20,https://winnipeg.ca/police/press/2020/08aug/2020_08_20.stm
2020-08-19,https://winnipeg.ca/police/press/2020/08aug/2020_08_19.stm
2020-08-18,https://winnipeg.ca/police/press/2020/08aug/2020_08_18.stm
2020-08-17,https://winnipeg.ca/police/press/2020/08aug/2020_08_17.stm
2020-08-14,https://winnipeg.ca/police/press/2020/08aug/2020_08_14.stm
2020-08-13,https://winnipeg.ca/police/press/2020/08aug/2020_08_13.stm
2020-08-12,https://winnipeg.ca/police/press/2020/08aug/2020_08_12.stm
2020-08-10,https://winnipeg.ca/police/press/2020/08aug/2020_08_10.stm
2020-08-07,https://winnipeg.ca/police/press/2020/08aug/2020_08_07.stm
2020-08-06,https://winnipeg.ca/police/press/2020/08aug/2020_08_06.stm
2020-08-05,https://winnipeg.ca/police/press/2020/08aug/2020_08_05.stm
2020-08-04,https://winnipeg.ca/police/press/2020/08aug/2020_08_04.stm
2020-09-30,https://winnipeg.ca/police/press/2020/09Sept/2020_09_30.stm
2020-09-28,https://winnipeg.ca/police/press/2020/09Sept/2020_09_28.stm
2020-09-26,https://winnipeg.ca/police/press/2020/09Sept/2020_09_26.stm
2020-09-24,https://winnipeg.ca/police/press/2020/09Sept/2020_09_24.stm
2020-09-23,https://winnipeg.ca/police/press/2020/09Sept/2020_09_23.stm
2020-09-20,https://winnipeg.ca/police/press/2020/09Sept/2020_09_20.stm
2020-09-19,https://winnipeg.ca/police/press/2020/09Sept/2020_09_19.stm
2020-09-11,https://winnipeg.ca/police/press/2020/09Sept/2020_09_11.stm
2020-09-09,https://winnipeg.ca/police/press/2020/09Sept/2020_09_09.stm
2020-09-03,https://winnipeg.ca/police/press/2020/09Sept/2020_09_03.stm
2020-09-02,https://winnipeg.ca/police/press/2020/09Sept/2020_09_02.stm
2020-09-01,https://winnipeg.ca/police/press/2020/09Sept/2020_09_01.stm
2020-10-31,https://winnipeg.ca/police/press/2020/10oct/2020_10_31.stm
2020-10-30,https://winnipeg.ca/police/press/2020/10oct/2020_10_30.stm
2020-10-28,https://winnipeg.ca/police/press/2020/10oct/2020_10_28.stm
2020-10-27,https://winnipeg.ca/police/press/2020/10oct/2020_10_27.stm
2020-10-26,https://winnipeg.ca/police/press/2020/10oct/2020_10_26.stm
2020-10-25,https://winnipeg.ca/police/press/2020/10oct/2020_10_25.stm
2020-10-24,https://winnipeg.ca/police/press/2020/10oct/2020_10_24.stm
2020-10-23,https://winnipeg.ca/police/press/2020/10oct/2020_10_23.stm
2020-10-22,https://winnipeg.ca/police/press/2020/10oct/2020_10_22.stm
2020-10-21,https://winnipeg.ca/police/press/2020/10oct/2020_10_21.stm
2020-10-20,https://winnipeg.ca/police/press/2020/10oct/2020_10_20.stm
2020-10-16,https://winnipeg.ca/police/press/2020/10oct/2020_10_16.stm
2020-10-15,https://winnipeg.ca/police/press/2020/10oct/2020_10_15.stm
